id	GSM595407_Control	GSM595411_Control	GSM595414_Control	GSM595416_Control	GSM595417_Control	GSM595419_Control	GSM595421_Treat	GSM595422_Treat	GSM595423_Treat	GSM595424_Treat	GSM595425_Treat	GSM595426_Treat	GSM595427_Treat	GSM595428_Treat	GSM595429_Treat	GSM595432_Treat	GSM595434_Treat	GSM595435_Treat	GSM595437_Treat	GSM595439_Treat	GSM595441_Treat	GSM595443_Treat	GSM595445_Treat
A1BG	6.45076643478261	6.33566669565217	6.27654656521739	6.32711843478261	6.44503126086957	6.10263182608696	6.35981973913043	6.36227686956522	6.17309643478261	6.27160530434783	6.4516847826087	6.3437622173913	6.01238895652174	6.16289913043478	6.23213213043478	6.22148330434783	6.62573065217391	6.75327634782609	6.57002382608696	6.43078960869565	6.44279213043478	6.59762630434783	6.40282104347826
A1BG-AS1	5.90127243478261	5.81397243478261	5.61772439130435	5.58275234782609	5.23242447826087	5.81639508695652	5.6995852173913	5.61682730434783	5.76872676086957	5.51181713043478	5.79203734782609	5.75175739130435	5.45241169565217	5.31809130434783	5.56313860869565	5.71341439130435	5.648091	6.01788573913043	5.93349243478261	5.65310739130435	5.65211334782609	5.855967	5.61429265217391
A1CF	4.4750537826087	4.3459867826087	4.19565034782609	4.47929452173913	4.51681969565217	4.32412334782609	4.42589560869565	4.36232369565217	4.28618404347826	4.16349226086956	4.01347704347826	4.46969308695652	4.38753360869565	4.20482547826087	4.37921173913043	4.18422782608696	4.19249869565217	4.30341795652174	4.22326834782609	4.51292134782609	4.175188	4.43984695652174	4.26239947826087
A2M	9.1144532173913	9.22326082608696	8.97467834782609	9.23821747826087	9.59017495652174	9.54534617391304	9.08371226086957	9.24713713043478	9.24252452173913	9.48835186956522	9.12969530434783	9.39166339130435	9.0314077826087	9.26819952173913	8.97209260869565	9.26354313043478	9.24713713043478	9.24252452173913	9.25225113043478	9.4756027826087	9.39623952173913	9.17472252173913	9.02562691304348
A2M-AS1	5.65622739130435	6.16538047826087	6.44150586956522	5.0232507826087	5.63224295652174	6.54821865217391	6.10103056521739	6.43449752173913	7.35696291304348	7.5765077826087	6.42564886956522	6.56069730434783	6.84097852173913	6.23638404347826	5.507245	5.47466052173913	5.9351112173913	6.52660082608696	6.64121234782609	6.81036743478261	7.02259769565217	6.26293	7.03443517391304
A2ML1	4.50056534782609	4.40454334782609	4.3214947826087	4.502564	4.40105895652174	4.29142030434783	4.19833643478261	4.28495491304348	4.34705886956522	4.30622765217391	4.38673126086957	4.11049295652174	4.43798843478261	4.25113813043478	4.32058604347826	4.1771437826087	4.32366382608696	4.17295726086957	4.41201747826087	4.27075334782609	4.16886030434783	4.19326639130435	4.16647965217391
A2MP1	5.29447317391304	5.61159817391304	5.1877502173913	5.83591852173913	6.81036743478261	6.01901873913044	5.19210630434783	5.03916969565217	5.56911806521739	5.7503472173913	5.42460686956522	5.3884367826087	5.44579343478261	5.3383842173913	5.35129239130435	5.22160060869565	5.4109642173913	4.99305360869565	4.98255286956522	5.90872417391304	5.39533056521739	4.9159682173913	5.2469627173913
A4GALT	7.20217665217391	7.21467339130435	6.90908591304348	7.59667491304348	7.79271895652174	7.62174295652174	7.20952739130435	7.16778513043478	7.0472237826087	7.05836256521739	6.9744402173913	7.07824347826087	6.71311047826087	7.27291404347826	7.127876	7.16003839130435	7.16125852173913	7.3917732173913	7.32559413043478	7.229795	7.1200317826087	6.97047843478261	7.01126947826087
A4GNT	4.83973486956522	4.63995586956522	4.71537308695652	4.56395834782609	4.70710852173913	4.67397347826087	4.63006004347826	4.58822269565217	4.68637334782609	4.65448234782609	4.66826534782609	5.02647639130435	4.84303469565217	4.64912717391304	4.2822767826087	4.64706260869565	4.56712539130435	4.88596573913043	4.78272269565217	4.69286547826087	4.69286547826087	4.67074730434783	4.82831265217391
AA06	5.58186856521739	5.28065526086957	5.15909191304348	5.36389460869565	5.38491226086956	5.21821747826087	5.38801743478261	5.2436447826087	4.95108808695652	4.82750169565217	5.09106930434783	4.99222560869565	5.19610169565217	4.91289547826087	5.29004095652174	5.14576804347826	5.289413	5.24930130434783	5.16727526086957	5.01812843478261	5.10268691304348	4.81700956521739	5.42171234782609
AAAS	7.32904473913043	7.60712017391304	7.47639195652174	7.55576	8.19904195652174	7.55940008695652	7.83936060869565	7.65213052173913	7.77220026086956	7.51047282608696	7.50057156521739	7.83172852173913	7.6124597826087	7.42676852173913	7.68942034782609	8.13253752173913	8.157245	7.94137782608696	7.95715208695652	8.05626356521739	8.12079213043478	7.85254204347826	7.93956413043478
AACS	7.95575343478261	8.38145317391304	8.18071417391304	8.07089043478261	7.880096	8.09320286956522	8.17326508695652	8.3060927826087	7.93420882608696	7.9026567826087	7.55769191304348	8.02354239130435	8.33745791304348	7.95575343478261	8.4337407826087	7.918448	7.9065782173913	7.91495469565217	7.70380673913043	7.57489760869565	7.76081026086957	7.82435882608696	7.76559352173913
AACSP1	3.41198486956522	3.73573852173913	3.41709891304348	3.52514556521739	3.27991213043478	3.55475165217391	3.36174560869565	3.48404808695652	3.50386195652174	3.54909908695652	3.51952160869565	3.33686286956522	3.76523695652174	3.6037202173913	3.46983008695652	3.55947273913043	3.57331743478261	3.42893439130435	3.56962217391304	3.41570104347826	3.68848	3.38434043478261	3.48236439130435
AADAC	7.77116786956522	7.95746682608696	7.32123565217391	9.21833217391304	7.49190856521739	7.5977137826087	8.56919604347826	9.53994791304348	6.21227991304348	5.98660295652174	7.22276965217391	7.35897582608696	7.86162813043478	7.229795	8.27563634782609	6.76859682608696	7.02445908695652	8.10746134782609	9.10556395652174	6.93571360869565	8.12630343478261	7.37872617391304	7.27155456521739
AADACL2	3.06052508695652	3.27554986956522	3.23294273913043	3.30200073913043	3.48680930434783	3.48680930434783	3.193127	3.45018608695652	3.56441330434783	3.42861243478261	3.48290308695652	3.40417239130435	3.35502534782609	3.2284612173913	3.13156673913043	3.36968160869565	3.47851495652174	3.3101262173913	3.794527	3.23247765217391	3.31266547826087	3.31952991304348	3.27472326086957
AADACP1	3.70970160869565	3.94379847826087	4.63737434782609	3.48212582608696	4.17243082608696	3.64607452173913	5.39416034782609	4.53325934782609	3.86453882608696	3.71375173913043	4.07301582608696	3.59188865217391	3.61699939130435	6.50075669565217	5.77668386956522	3.86207765217391	4.2650677826087	4.00292247826087	5.13794908695652	3.57258865217391	4.34277295652174	4.50596308695652	3.88587795652174
AADAT	6.08577817391304	6.76568052173913	6.5678517826087	6.96019534782609	6.20199034782609	6.6792302173913	6.48105004347826	6.51536126086957	6.78579656521739	6.57229760869565	6.42439834782609	6.64197008695652	7.09003326086957	6.82180943478261	6.62277743478261	6.87115195652174	6.81692756521739	6.43862852173913	6.04093852173913	6.62912704347826	6.4997852173913	6.38865069565217	6.41938769565217
AAED1	8.49257704347826	8.30638717391304	8.40354952173913	8.53585913043478	7.99897643478261	8.44375013043478	7.91121939130435	7.6284187826087	7.84538413043478	7.86591230434783	8.14925234782609	8.36364956521739	8.1463142173913	8.13123852173913	7.98825082608696	8.30210917391304	8.51898195652174	8.29767943478261	8.21908491304348	8.00837491304348	7.94379426086957	8.36614769565217	8.37663926086957
AAGAB	7.13177991304348	6.87215169565217	6.88203439130435	6.73316347826087	6.74601904347826	6.90854682608696	6.71157286956522	6.95597217391304	6.80752391304348	6.88823882608696	6.95391643478261	6.45076643478261	6.82228126086957	7.0624227826087	6.66462508695652	6.56002026086956	6.49541639130435	6.26581682608696	6.47810852173913	6.45126904347826	6.48955317391304	6.60662373913043	6.35865834782609
