id	GSM1193301_Control	GSM1193302_Control	GSM1193303_Control	GSM1193304_Control	GSM1193305_Control	GSM1193306_Control	GSM1193307_Control	GSM1193308_Control	GSM1193309_Control	GSM1193310_Control	GSM1193311_Control	GSM1193312_Control	GSM1193313_Control	GSM1193314_Control	GSM1193315_Control	GSM1193316_Control	GSM1193317_Control	GSM1193318_Control	GSM1193319_Control	GSM1193320_Control	GSM1193321_Control	GSM1193322_Control	GSM1193323_Control	GSM1193324_Control	GSM1193325_Control	GSM1193326_Control	GSM1193327_Control	GSM1193328_Control	GSM1193329_Control	GSM1193330_Control	GSM1193331_Control	GSM1193332_Control	GSM1193333_Control	GSM1193337_Control	GSM1193338_Control	GSM1193339_Control	GSM1193340_Control	GSM1193347_Control	GSM1193348_Control	GSM1193349_Control	GSM1193350_Control	GSM1193351_Control	GSM1193357_Control	GSM1193358_Control	GSM1193359_Control	GSM1193360_Control	GSM1193361_Control	GSM1193362_Control	GSM1193364_Control	GSM1193366_Control	GSM1193368_Control	GSM1193370_Control	GSM1193371_Control	GSM1193373_Control	GSM1193374_Control	GSM1193375_Control	GSM1193376_Control	GSM1193378_Control	GSM1193381_Control	GSM1193383_Control	GSM1193384_Control	GSM1193334_Treat	GSM1193335_Treat	GSM1193336_Treat	GSM1193352_Treat	GSM1193353_Treat	GSM1193354_Treat	GSM1193355_Treat	GSM1193356_Treat	GSM1193341_Treat	GSM1193342_Treat	GSM1193343_Treat	GSM1193344_Treat	GSM1193345_Treat	GSM1193346_Treat	GSM1193363_Treat	GSM1193365_Treat	GSM1193367_Treat	GSM1193369_Treat	GSM1193372_Treat	GSM1193377_Treat	GSM1193379_Treat	GSM1193380_Treat	GSM1193382_Treat
A1CF	0.0525704541607143	0.482984939365476	0.15820461612619	0.0576437580428571	-0.450772613007143	-0.190303023632143	-0.128086970445238	0.436157453353571	0.0939030510404762	0.0330913891904762	-0.504282043111905	0.272048371140476	0.0265682547416667	-0.251778789480952	0.384833784236905	0.373041130661905	0.114686031740476	-0.00132476439404762	0.211799493820238	0.661703388511905	0.0280319068202381	0.0596847120952381	0.149099956186905	0.334851183207143	0.512111297540476	0.231013187214286	0.409908296213095	0.0995997472047619	0.0676884959809524	0.0193466739833333	0.112315809194048	0.0662620528440476	0.665138411153571	0.253970728011905	0.0233372222654762	-0.033712997347619	0.193989226721429	0.175826356359524	0.0570100510535714	-0.121256659301786	-0.19482062817619	0.00515234241547619	-0.100394623721429	-0.133729704138095	0.349555887508333	-0.182372503646429	-0.0957530548035714	0.147680738371429	-0.341751806940476	-0.0688209714285714	-0.178411626634524	0.117418274454762	-0.225179850279762	0.0967261365642857	-0.138187166488095	-0.307451440007143	-0.346566114455952	-0.169057603764286	-0.051928833875	-0.038931912397619	-0.00776859953928571	0.00146015845476191	-0.406634064945238	-0.234749031438095	-0.109228403303571	-0.400097581528571	0.239463743779762	-0.390095639180952	-0.587735634719048	0.102449387361905	0.00464194639523809	0.170967557139286	0.506448500044048	-0.188157303765476	0.178035985679762	-0.131159158222619	-0.490678081875	-0.294813373058333	-0.142515689054762	-0.312721106263095	0.0592786507309524	0.23407482349881	-0.00168816367380952	-0.388962240353571
A2M	-0.650570515720238	0.108295490153571	-0.349772543516667	0.582887623432143	-1.04467658757976	0.807222924682143	-1.39166628335	-1.22022075225238	0.673781371319048	-0.472581573653571	0.811206700696429	0.438298360185714	-0.814520956984524	-1.03013375534167	-0.0716912559857143	0.0179334327571429	-0.638075379442857	-0.250142493880952	-0.961801900455952	-0.504282043111905	-0.0827962189309524	-0.906103440625	-0.0618539565869048	-1.35459519103214	-0.174171565127381	-0.972625187182143	-0.341751806940476	-0.240472853358333	2.2590272035	0.0595604766	-1.60519867486071	0.608952241051191	0.899097387936905	0.579324831344048	-0.417816631163095	0.763895146938095	-1.0374788646631	-0.572282440971429	0.713788856421429	-1.16740705164524	0.231610858694048	0.0950262042083333	-0.909752200059524	0.454423511621429	-0.0482546417476191	0.358790808255952	0.500294595585714	-0.131892474986905	0.463070846289286	0.922803386269048	0.819585631077381	-0.542919942740476	-0.891932984196429	-0.222478988255952	-0.74758828762619	0.1821485538	0.670874203095238	-0.159986252639286	0.667992807747619	-0.137644649182143	-0.753620188467857	0.235586706547619	0.871804806829762	0.279476809988095	1.32250908695476	0.959522046994048	0.631837893288095	-1.30593910524881	-0.788985355039286	2.05102255511071	0.852229879857143	-0.0879358843547619	1.18764527890833	1.43810139977381	1.24366802609167	-0.383551408054762	0.826921207578571	1.17472712208333	-0.0158417178869048	1.2552515408369	0.336137750563095	0.955055517783333	0.445349879064286	-0.0231199235845238
A4GALT	0.0146272938714286	0.0924184979428571	0.0471934381928571	0.53105343287619	0.312481191144048	0.390989196575	0.309022033542857	0.162513554055952	0.420164975582143	-0.226969588636905	-0.25291478735	0.106555306802976	0.413178648035714	0.231797832109524	0.497730118191667	0.406445639433333	0.0295081442214286	0.0526874412904762	-0.276890629116667	-0.192703525570238	0.379779162559524	0.545020943473809	0.0313239207404762	0.357389260479762	-0.0556453731261905	-0.0279673985285714	0.174622153785714	0.16729576500119	0.0399871766297619	0.344563840077381	0.0159635928404762	-0.212904616642857	-0.0239624391202381	0.138393700972619	-0.164061104155952	-0.0569089885309524	-0.166866889136905	0.159534421622619	-0.0434146466738095	-0.222107059505952	0.042300169072619	-0.014103927222619	-0.0786162424809524	-0.0470988286690476	0.145101621791667	0.113476286567857	0.0790630241095238	-0.279395242807143	-0.588309505079762	-0.174953427221429	-0.222695631603571	0.261867124385714	-0.920738333292857	-0.393976919065476	-0.426599288371429	-0.346566114455952	-0.786895035515476	-0.174561298180952	-0.199098258140476	-0.172277869021429	0.430838129355952	-0.294512261980952	-0.305473862552381	-0.661169085904762	-0.451772649777381	-0.561565220009524	0.155597926152381	-0.674508846157143	-0.641418951735714	0.0420569390952381	0.153529919142857	0.12591147707381	0.255968659221429	-0.377551217882143	-0.448923705335714	-0.531136249709524	-0.309127359670238	-0.643127888245238	-0.391427988726191	-0.407332819475	0.0781539134238095	0.0126523755380952	0.128619817091667	-0.269591822180952
A4GNT	0.0348678370607143	0.0464728190809524	0.36976047115	0.0563413392952381	0.0727549662071429	-0.0301720927238095	-0.0360672167535714	-0.0113757670107143	0.1326770586	0.0499477802690476	0.0349381606333333	-0.0034128085952381	-0.0046138293952381	-0.0330485408404762	0.0303976992440476	0.0526874412904762	-0.080063885575	-0.00926068191428571	-0.0673326553869048	-0.0669361419714286	-0.0569991157797619	0.0150089591785714	0.0988980014011905	0.284585069097619	0.0457992866011905	0.0785174179952381	0.156436738046429	0.0359012715202381	0.00457164451309524	0.183931256455952	0.210573097940476	0.134438727747619	0.174695337471429	-0.105101302559524	0.113677715683333	-0.0164963285142857	-0.0468489341035714	-0.193362933075	0.0892286572011905	0.00299450661666667	-0.249208258997619	-0.0488661337654762	-0.110273911809524	-0.0764959221011905	-0.0322601079654762	0.174033367742857	0.0670868892285714	0.0448497905666667	-0.0184282877821429	-0.226768712921429	0.0629461664178571	0.214150512640476	-0.0812723847833333	-0.0141396420130952	0.0490433358321429	0.0179334327571429	0.033715055475	0.0549820705285714	-0.099177484872619	0.0932762712535714	-0.133410535957143	-0.0644150765678571	0.0783303317190476	0.0341819454071429	0.110752876580952	-0.0411891090857143	-0.0932946268333333	0.0259813103535714	0.0419748784416667	-0.0741261691654762	-0.202225549570238	-0.111792597039286	0.030126813172619	-0.168438801284524	0.0116382364107143	-0.418832441779762	-0.0990755247869048	0.0280319068202381	0.0454212391940476	-0.189393859705952	-0.0821481069654762	-0.146919520991667	0.0311103952309524	-0.1367584371
AAAS	0.0545430174738095	0.373952671233333	0.198082526079762	0.165083530557143	0.0583928375553571	0.119845947278571	0.0151150141857143	0.471125012291667	0.14818312580119	0.131306847845238	0.0840887525166667	0.16370538985119	0.277489675335714	-0.0461453496321429	0.124988291163095	0.304933835389286	0.104623423219048	0.363601955129762	0.365866074964286	-0.699995737955952	0.181193157714286	0.0631559801464286	0.117307570032143	0.0701996415666667	-0.0757227951119048	-0.0905556554071429	0.089426903675	-0.00953001366666667	-0.121346847555952	0.172143745114286	0.0747373428285714	-0.0304001513142857	-0.243514581634524	-0.156535000033333	-0.145419414190476	0.0523169187154762	-0.516660640270238	-0.11228764199881	-0.0131249068404762	-0.0812723847833333	-0.27755415392619	0.0888323639	0.0578584325059524	-0.263917058	0.021082454927381	0.287749001428571	-0.090971652397619	0.108985722258333	-0.21487398022381	-0.00520733785595238	0.0228536750130952	-0.0191156137011905	-0.150502568613095	-0.43776272892381	-0.0497286235690476	-0.223511762519048	-0.163985278914286	-0.181674350728571	-0.276638395283333	0.0211948920714286	0.158687025009524	-0.254049944046429	-0.0552379015119048	-0.13751080320119	-0.260402743769048	0.136911345828571	-0.0250069929892857	-0.110599637632143	-0.381408706809524	-0.0764959221011905	-0.19287179179881	-0.00419182380595238	0.0175401077785714	-0.036353689377381	-0.0103651850011905	-0.0122887137178571	-0.000209442758333334	-0.141252986088095	-0.305473862552381	-0.309670937286905	-0.110756229791667	-0.16411919475	0.0414678504142857	-0.136237775733333
AACS	0.387452957940476	-0.186907001488095	-0.288643800417857	0.346294873880952	-0.197104115277381	0.0854466485702381	-0.681509877184524	-0.273821158603571	0.190584555188095	-0.0905982834702381	-0.687196447746429	-0.826750325397619	-0.384234692740476	-0.273444833508333	-0.983600201140476	-1.0078273027381	0.0380203803285714	-0.0504024782285714	-0.335976371311905	0.373952671233333	0.285953891794048	-0.49146003145	-0.0449238014916667	-0.614701117817857	0.117148644782143	-0.0177847884857143	-0.149866956007143	-0.0409600561785714	-0.583008091036905	-0.234562843953571	-0.640604914761905	0.559593407159524	0.0312869993904762	-0.906103440625	0.529773554938095	0.164793938911905	0.0629461664178571	-0.530220977623809	0.393415815555952	-0.126930536759524	0.0555146066857143	0.208732382728571	-0.273317714177381	-0.12986468389881	-0.173953181325	0.526538788789286	-0.532449078785714	0.337245414644048	-0.736370194319048	0.775548309964286	0.324714796432143	-0.425822250664286	0.0825387514452381	0.19868540157619	-0.088337427027381	0.124162511130952	0.388492427689286	0.178816773166667	0.115595644966667	-0.0307150369380952	0.274327020144048	0.355418910990476	0.237978986558333	-0.249208258997619	0.175349215113095	0.391152216202381	0.0208754414916667	0.0123489767380952	0.0279521589083333	0.271430771892857	0.600458160096429	-0.19590379915	-0.174496711183333	0.507666851491667	0.64911421452381	-0.204803092994048	-0.016231871775	0.0879390129178571	0.121761136829762	0.335480834810714	0.21032035492381	0.1560220146	-0.0892114165321429	-0.00769956613809524
AADAC	-0.0821072529607143	0.291738096804762	0.142107100192857	0.132454851569048	-0.237249270814286	0.288775021677381	-0.11461958347619	0.205390292639286	0.141867180895238	0.00198673931428571	0.138337535292857	-0.0101745955678571	0.0699811209297619	-0.263534578360714	-0.00550317826904762	0.128427359870238	0.0336799620059524	0.390611929416667	0.292389800847619	-0.235472871945238	-0.0717443401059524	0.15122285915119	0.00342820973095238	0.0199656749154762	0.0403227590761905	0.0361416969404762	0.120118660147619	-0.134910430478571	0.0154503205178571	0.267235889302381	-0.0046464760452381	0.123309122469048	-0.172340447595238	-0.320054915644048	0.128363853594048	0.166516041964286	-0.879370701779762	-0.0771428591809524	0.0180379303559524	0.0399871766297619	-0.131022855158333	-0.0408467413952381	0.0394031800809524	0.0724410741976191	-0.0109481415630952	0.177344539791667	0.0477501730916667	0.180967951115476	-0.167789511985714	0.139284606215476	-0.0712544627535714	0.0376295403202381	-0.0589193701190476	-0.44524027972381	-0.456278098908333	-0.246540001052381	-0.132409521830952	0.0584937323761905	-0.0957925793083333	0.211983220115476	0.0463917826083333	-0.25154088207381	0.0642772682654762	-0.00621696515	-0.0430961225035714	-0.00565401151011905	-0.0861004831642857	-0.030242291852381	0.0921253772309524	-0.0375422069142857	-0.0693927200940476	-0.0366873166654762	-0.251093206740476	0.0393159576702381	0.132082406047619	0.00538853620595238	0.0136894658047619	-0.113929249534524	-0.130918691688095	-0.437505097955952	-0.146615730722619	-0.0504024782285714	0.0808294961630952	-0.0338705978059524
AAGAB	0.374511251435714	0.0255423103238095	-0.0219345697666667	0.0816971634357143	0.130615352594048	0.25681128207381	0.100588970936905	0.0232252879178571	-0.0330827188821429	0.176360545559524	-0.00728687337857143	0.07193316975	0.231610858694048	0.0238723085845238	0.348702920403571	0.352281727572619	0.200608398421429	0.225112008355952	0.112536515891667	0.281979776219048	-0.0367413005190476	0.0932762712535714	0.0749161090380952	0.250381055121429	-0.000998348528571429	0.198267573097619	0.000845456979761905	-0.0580395720452381	0.298081434903571	-0.171770629996429	0.265978809464286	-0.174496711183333	0.028738350847619	-0.435437447610714	-0.0265772619821429	-0.0729496076130952	0.46771779102619	0.0276009347369048	0.169133013341667	0.0460724480416667	0.147229065957143	-0.141627429029762	-0.0523193111321429	-0.129761718017857	-0.0414930316309524	-0.139239117516667	0.265488962713095	0.0529230426011905	-0.128850394535714	-0.202039367836905	-0.19565339712381	0.138891356914286	-0.0108686959071429	0.2544837769	-0.173243857825	-0.18857592350119	-0.293447980338095	0.0917063518523809	0.153093347777381	0.124462217772619	0.13436723805	-0.00796729166071428	0.03705745485	0.0357831076321429	0.0591944944428571	-0.36703012634881	-0.090286802725	-0.0853733768142857	0.138211797338095	-0.258728756905952	0.110041440558333	0.0219718140940476	-0.135308245477381	-0.0916914089630952	-0.457466845219048	-0.0830146971095238	-0.054194039522619	0.00123654027619048	0.0965472613428571	0.0491163835797619	-0.0744328099845238	-0.207912488511905	-0.169785194954762	-0.00908379778333333
AAK1	-0.0282986679392857	-0.0323395065130952	0.0328856239880952	0.00671540063333333	-0.0955259360107143	-0.0495294656452381	0.0445573448642857	0.0362127675309524	0.0200317927130952	-0.0373858613988095	0.0825387514452381	0.0183339929714286	-0.00724233830476191	-0.0410065959130952	-0.0312289277345238	-0.0481696185880952	0.0850682748738095	-0.0886165629333333	0.17426284424881	0.250697312245238	-0.0134118924559524	0.133238252717857	-0.0703108266964286	0.0161917785761905	0.042099076222619	-0.008673072275	0.0572247581738095	0.0193131234571429	0.0196241060892857	-0.0614670513619048	0.103788073353571	-0.0539967883833333	0.023011130675	0.10792545754881	-0.00665049990833333	0.0867865588119048	0.0698910544785714	-0.0285138209571429	-0.063613747177381	-0.0184659743619048	-0.0233102711059524	0.0677298598630952	-0.051217973322619	0.0335620161392857	0.130009731786905	0.0166352517285714	-0.0125327095047619	0.003854635325	0.027344038277381	-0.0392592520869048	-0.0493093045095238	0.0765266695595238	-0.114785341060714	0.0435508539357143	0.0573028090360714	0.0256854210047619	0.0858713129452381	0.145831836420238	-0.265748069882143	0.123036458829762	-0.0949748650309524	-0.00154879574880952	-0.0422203806738095	-0.00412270398928571	-0.00248791856309524	0.030809532302381	0.173140474158333	-0.120422143452381	-0.025969379977381	-0.0458180647297619	-0.18857592350119	0.159209198854762	-0.0253973093619048	-0.0735162867511905	-0.0303618946809524	-0.059051660452381	-0.0816093862380952	-0.0738108329654762	-0.162236641592857	-0.0289375395083333	0.17888071442619	-0.0334422666892857	0.0302459099738095	0.0603005579952381
AAMDC	-0.00937815990119048	-0.0106447356321429	0.221326741263095	0.363213645153571	-0.00600911552738095	0.0739910797357143	0.205839251096429	0.0346818214035714	-0.035797829452381	0.0292742585119048	-0.0882425212047619	-0.0703108266964286	0.0543217757357143	0.019411183097619	-0.186542805967857	-0.0986596759380952	-0.205527640666667	-0.256810962611905	-0.197958749220238	0.0142100970940476	-0.0180343391035714	-0.142767700236905	-0.0201529065547619	-0.00589413450083333	0.0118710112130952	-0.212024447165476	-0.0687433443940476	-0.0752783978178571	-0.34325109305119	-0.126221208535714	0.0461567113511905	0.12397399852619	0.000276231095238095	0.0775393200714286	-0.259433779017857	-0.191162242088095	-0.0209815256452381	0.062193567752381	0.0473913113297619	-0.0824819159392857	-0.287715702160714	0.0362127675309524	0.137390736317857	0.0365503877392857	0.00346263905952381	-0.103146496414286	-0.36589686389881	0.000310854744047619	-0.151766440235714	-0.0160309610166667	-0.0247709387952381	0.0413182894880952	-0.048133673452381	0.137199863958333	0.210573097940476	0.328450824808333	0.105667614065476	0.039677437	-0.0238494757095238	-0.000139997017857143	-0.051682520172619	0.000805251460714286	0.171478465096429	-0.131414762708333	-0.15724159182381	-0.030912481347619	-0.19022935335	-0.151045566436905	0.172559220144048	-0.00818808914523809	0.0100826883416667	0.0307026407083333	0.0914825082511905	0.0846325817833333	-0.00217736214404762	0.210743273821429	-0.0867606360273809	-0.201678504161905	0.0922209589333333	0.0494909920630952	-0.0420575832178571	0.18113107659881	0.045037250475	-0.121346847555952
