id	GSM1302047_Control	GSM1302054_Control	GSM1302056_Control	GSM1302057_Control	GSM1302070_Control	GSM1302072_Control	GSM1302073_Control	GSM1302075_Control	GSM1302033_Treat	GSM1302034_Treat	GSM1302035_Treat	GSM1302036_Treat	GSM1302037_Treat	GSM1302038_Treat	GSM1302039_Treat	GSM1302040_Treat	GSM1302041_Treat	GSM1302042_Treat	GSM1302043_Treat	GSM1302044_Treat	GSM1302045_Treat	GSM1302046_Treat	GSM1302048_Treat	GSM1302049_Treat	GSM1302050_Treat	GSM1302051_Treat	GSM1302052_Treat	GSM1302053_Treat	GSM1302055_Treat	GSM1302058_Treat	GSM1302059_Treat	GSM1302060_Treat	GSM1302061_Treat	GSM1302062_Treat	GSM1302063_Treat	GSM1302064_Treat	GSM1302065_Treat	GSM1302066_Treat	GSM1302067_Treat	GSM1302068_Treat	GSM1302069_Treat	GSM1302071_Treat	GSM1302074_Treat	GSM1302076_Treat	GSM1302077_Treat	GSM1302078_Treat	GSM1302079_Treat	GSM1302080_Treat
1/2-SBSRNA4	0.103426215242708	-0.06572916673125	0.186813628471875	0.147365798610417	0.236599600351042	0.135684028470833	0.2644013888875	0.0977458581604167	0.17775802153125	0.253178160408333	0.0660969618781249	0.00565442707604167	0.0519256943812499	0.258119530209375	0.0122829224260417	-0.127647284226042	0.156358177083333	-0.0135600694135417	0.01659930541875	0.24886388819375	-0.0489730903395833	0.175300868747917	0.175300868747917	0.143480017357292	0.098240921925	-0.08754381945	0.198924305547917	0.13421875	0.0355936111104166	0.0722281250760416	0.10063940975625	-0.279590972916667	0.0412078993437501	-0.0571511804854167	0.211500259028125	0.133656249655208	0.1417201381875	0.119450833333333	0.18039618056875	0.191823090291667	0.1405251736125	0.26148250069375	0.0902986111104167	0.102229513195833	0.24533631875	0.205498958333333	0.102136892327083	0.0788260417375
A1BG	-0.250125763883333	-0.23340548045625	-0.267573437502083	-0.0307145833333333	-0.380474097225	-0.405409895482292	-0.21677743055625	-0.211317011804167	-0.377592186804167	0.14806111180625	0.0408627082604168	-0.0480799479510417	0.02614017361875	-0.23763819444375	-0.265073958339583	0.174261804860417	0.125329340972917	-0.288315351484375	-0.146702082654167	-0.371258159729167	-0.14506423611875	0.103398611110417	-0.0164801735729166	0.109750347222917	-0.245591146527083	-0.231372915964583	0.133166927086458	-0.00496239583333333	-0.2017169444375	-0.0794029514583333	0.0513161458333333	0.31705225694375	0.1488819444375	0.323251165972917	-0.0224775346458333	0.0202284474229167	-0.00196128472291667	0.0355339757291666	-0.102513020202083	0.0460737847208333	0.04547586805625	-0.0195203125	0.09807118125	0.0222761111208333	0.26459161706875	0.141971179860417	-0.2548045138875	0.490431059378125
A1BG-AS1	-0.191883332639583	0.40890069444375	0.13261875	0.3885740625	-0.384972222214583	-0.566929513541667	0.125537151735417	0.144193333333333	-0.300149827091667	0.115856527779167	0.119228489572917	-0.17861357674375	-0.0568840277427083	-0.174638021527083	-0.154754079513542	0.320661458333333	-0.00520086805625	0.0833861111791667	0.253695485422917	-0.360489514575	-0.247776215976042	0.132337916666667	0.579647221516667	0.369915798259375	-0.29885368125	-0.04499513881875	0.166093895377083	0.86212361111875	0.235602864930208	0.279808680554167	0.137447482986458	0.914184375	0.241560764580208	0.348550521520833	-0.425178297922917	-0.366509722222917	0.358215659725	0.1441095486125	0.0386800347291667	-0.46069079861875	0.471753471527083	0.634799652785417	0.365465352183333	0.166246822569792	0.173139583333333	0.404723178472917	-0.110370139591667	0.833159722910417
A1CF	-2.07118542361042	-1.26352729166667	-1.60476111111042	-1.60536459722083	-1.88193854166667	-1.4717086805625	-1.59876979166667	-1.5269907986125	-1.81325202083333	-1.35514131944375	-1.67029375694375	-1.66839118055417	-1.64117153472083	-1.55982690972292	-1.71422916666667	-1.725298125	-1.68461179860417	-1.71422916666667	-1.55982690972292	-1.39746961805625	-1.72430069444375	-1.62477708333333	-1.723228125	-1.7402953125	-1.42751163194375	-1.35923125	-1.62384374305625	-1.67648542361042	-1.84257243055625	-1.69195798611875	-1.74798159722292	-1.61828038194062	-1.66698322916667	-1.58536857638958	-1.29613506944375	-1.41586614583333	-1.49116595833333	-1.57309600694375	-1.90756336805625	-1.66741354166667	-1.66839118055417	-1.71422916666667	-1.75706041666667	-1.70364485416667	-1.914940625	-1.776909375	-1.614903125	-1.51337534721458
A2LD1	1.16463701388125	-0.41376362778125	0.687334809032292	0.349618628476042	1.08454590277083	0.448395883333333	0.17241232430625	-0.0528903473541667	0.622322829517708	-0.2544326388875	0.938590971527083	0.128377951389583	0.599857605554167	0.318618022220833	0.31057951319375	0.755295451383333	0.958840555554167	0.2710999305625	0.480277776732292	0.247292153121875	1.0359970423625	1.04656927082917	0.713726388195833	0.159381597916667	0.747515261457292	0.432405641667708	0.21459600695	-0.126228820145833	0.194502083333333	0.964746531245833	0.975696305555208	0.368877777075	0.299418787202083	0.51085694444375	0.146005138889583	0.62891267361875	0.103832378471875	0.52593298611875	0.642773333333333	0.375943854854167	0.959259201392709	0.742214929166667	0.270146198615625	0.2291390625	1.01916840972292	0.883541771180209	0.696896284721875	0.651396527083333
A2M	3.67768958333333	3.47950381944375	4.37033854166667	3.93711145833333	4.92487916666667	4.75040104166667	4.03937083333333	4.48478020833333	4.52100833333333	3.41778576388958	4.10385138888958	4.58626875	4.41595479166667	4.85933020833333	4.4236875	3.973625	4.5781399305625	5.31017083333333	3.6009100694375	4.59645138888958	4.9549	4.82008020833333	4.47618125	5.0608625	4.75040104166667	3.81181979166667	4.33186354166667	3.422071875	4.33918229166667	4.15675833333333	4.45817638888958	3.9971875	4.32494375	4.68776291666667	3.11885555555625	4.06375695139583	3.9971875	5.09359792361042	4.0323375	4.59645138888958	4.83167847222292	3.81181979166667	4.72833541666667	4.62451875	4.98939479166667	5.456753125	3.10725815972083	4.469859375
A2ML1	0.93642275	0.853415451739584	0.981471284716667	0.966637847222917	0.585861459029167	0.369964930554167	0.520602777777083	0.3461996527625	0.661720225690625	1.61435624999375	0.481774739236458	0.848514063889583	0.59007618124375	0.719255379860417	0.401122864583333	0.824580902779167	0.60286996388125	0.653668054860417	0.9896271145875	0.7314611125	0.487057464577083	0.58490461805625	1.10801765277708	1.08748888194583	0.59947500069375	0.765556423610417	0.47489642430625	0.78801892430625	0.491693142354166	0.84393569444375	0.304075868054167	1.27506822916667	0.775826909714583	0.545552777770833	1.06073420138333	0.396119965277083	1.3398968680625	0.650980035416667	0.389379774304167	0.590360723860417	0.448240417360417	0.504166665972917	0.725398263889583	0.827032986110417	0.815595485416667	0.58231038055625	0.88958524305625	0.986582461801042
A4GALT	0.26680642361875	1.053927610425	0.630861110414583	0.735981597214583	1.20076059722292	1.05520417361875	0.671742014583333	1.36495763888333	0.39969982639375	0.880828645827083	0.855268853472917	1.51283975	0.587354592910417	1.0023882986125	1.30826145138958	1.04870990277083	1.35687291666667	1.6437689236125	0.876933871873959	0.54173368055	0.777141145833333	0.794115277779167	0.99784618055625	0.742686041666667	0.515520729857292	-0.007519375	1.79800069444375	1.56982760416667	0.608960416672917	1.08396634548229	1.33831146527708	0.631976076735417	0.97717545069375	1.40288350694375	0.577099792360416	0.770972014583333	0.631873854860417	0.829677777083333	1.29224740278542	1.27229409028333	0.517119688195833	0.7502121868125	1.4143055625	1.35687291666667	1.17125155555625	0.739944097216667	0.891644878816666	0.696436683680209
A4GNT	0.243922725694792	0.309073246879167	0.286597673610417	0.458236804854167	0.281157378471875	0.293754339577083	0.272532465979167	0.0495501736166667	0.184348439583333	-0.0984233503447917	0.163141840284375	0.361257386955208	0.17036440971875	0.31883194444375	0.0021094444375	0.222305920485417	0.17376260416875	0.0209017361145833	0.017274739621875	0.328470277779167	0.198140677083333	0.310638402430208	0.2254071875	0.149110954516667	0.272725693747917	0.31044704930625	0.246347917017708	0.278457812495833	0.0871611805906249	-0.181800868403125	-0.0944647570145833	0.0759030382218749	0.169624218753125	-0.0107893750625	0.0924482638875	0.419015034722917	0.231009722222917	0.17698194443125	0.15657881875	0.105345139583333	0.241177257639583	0.440343575346875	0.306940017705208	0.261727344092708	0.0766446875708334	0.35884277846875	0.0918123958333333	-0.1151663201375
AAAS	-0.96358229168125	-0.549634722214583	-0.69451007013125	-0.678407395833333	-0.804065972220833	-0.689984722916667	-0.792883298608333	-0.889321874997917	-0.941398072219792	-0.786505207645833	-1.02800001388958	-0.93831562499375	-0.902562465277083	-0.843449305554167	-0.796298610408333	-0.838413888202083	-0.951496876389583	-0.559176146180208	-0.841643749997917	-0.86187326389375	-1.08775045138958	-0.986827952083333	-0.719463802779167	-0.664473611110417	-0.730021683680208	-0.695958333327083	-0.951797569435417	-0.7863048625	-1.07762569444583	-0.77270312430625	-1.0257625	-0.88316796909375	-0.988573264583333	-0.971685416666667	-0.840317014583333	-1.01362656180625	-0.717838715279167	-0.792762777777083	-0.818776040972917	-1.18856892361042	-0.815582813889583	-1.03460138888958	-1.01635529662708	-0.998461465279167	-0.85821562430625	-0.903689583327083	-0.845034895835417	-1.05236423611042
