id	GSM1854187_Control	GSM1854188_Control	GSM1854189_Control	GSM1854182_Treat	GSM1854183_Treat	GSM1854184_Treat	GSM1854185_Treat	GSM1854186_Treat
 A1BG-AS1 	5.300596625	5.498295375	5.38435875	5.5919135	5.420879125	5.78856275	5.5458585	5.563125375
 A1BG 	6.02634475	6.109303375	5.986234375	6.069076125	6.05108375	6.212350375	6.104444875	6.26467975
 A1CF 	2.562940375	2.5412504375	2.517726125	2.5507391875	2.55402925	2.643152875	2.5708425	2.588751875
 A2M-AS1 	5.061435875	5.342768	5.07025425	5.28367775	5.4989875	5.067432625	5.362974625	5.35844625
 A2M 	11.769755	11.82769625	11.799476625	12.12857875	11.82769625	12.00758375	11.799476625	11.332645
 A2ML1-AS1 	2.5496105	2.40330325	2.540150875	2.297198625	2.493194875	2.4855695	2.6072595	2.485394375
 A2ML1-AS2 	5.464215375	5.469258625	5.649759625	5.59016725	5.53269925	5.334888	5.524760125	5.369705625
 A2ML1 	3.107450375	3.0891185	3.07382275	3.105280375	3.11431925	3.179100625	3.118781875	3.0919855625
 A2MP1 	2.58146675	2.53771475	2.587142	2.623003875	2.615370875	2.654229125	2.585412625	2.57526225
 A4GALT 	6.339264875	6.328645625	6.275338625	6.3529715	6.5058605	6.56443275	6.323897875	6.394929625
 A4GNT 	2.796985	2.715643	2.58504775	2.71669625	2.729645625	2.5626575	2.6020665	2.73452675
 AA06 	2.672089375	2.901925875	2.91772525	3.10112875	3.028872625	2.894220625	2.700262875	2.9146885
 AAAS 	6.5880055	6.59387775	6.5399625	6.6047995	6.57266525	6.512788875	6.3920155	6.6199465
 AACS 	6.01793975	5.955909875	5.978148625	5.99664725	5.989763	6.058944125	5.880016125	6.014650875
 AACSP1 	4.800369625	4.875264625	4.7769485	4.763797625	4.828420125	4.938586875	4.81843275	4.85559
 AADAC 	6.492129875	4.6472245	4.773384375	3.742528	4.35275025	3.264577375	4.00766225	6.23191575
 AADACL2 	2.88474525	2.75489825	2.8093215	2.828155	3.220145875	2.782095375	2.8495265	2.792612125
 AADACL3 	3.405740875	3.347619625	3.360125375	3.3532286875	3.4300995	3.3703425	3.28246725	3.3262870625
 AADACL4 	3.229996125	3.30483025	3.317872375	3.305297125	3.423474375	3.292613625	3.268168	3.2671705
 AADAT 	5.275977	5.06542475	5.2212255	5.18607875	4.990024375	5.12210625	5.049128375	4.837060875
 AAED1 	7.658513125	7.351900875	7.2736908125	7.583905625	7.3271565	7.452975	7.319653875	7.151528875
 AAGAB 	6.11036675	6.020185875	6.249077125	6.342422625	6.29407	6.21058825	6.163136625	6.253652875
 AAK1 	6.789128125	6.67048475	6.7704255	6.8542945	6.8236665	6.84777125	6.83109975	6.836828875
 AAMDC 	5.677601625	5.551230375	5.74363	5.60004875	5.515725625	5.453080125	5.6172285	5.4631595
 AAMP 	6.568469625	6.509348875	6.460383625	6.4508745	6.421285625	6.609418	6.378824375	6.457685875
 AANAT 	5.01344725	5.21476625	5.06542475	5.13962325	5.184330125	5.438450125	5.095514	5.0618755
 AAR2 	6.238386625	6.2844095	6.241624875	6.23806575	6.302969625	6.249537375	6.241486125	6.18192575
 AARD 	5.684253	6.078378375	5.967816125	5.920065125	5.735146125	6.16127975	6.099353875	6.02994975
 AARS 	8.3557995	8.383101875	8.277227375	8.6607955	8.448401125	8.636274125	8.2237155	8.750877125
 AARS2 	5.769440375	5.865532875	5.863193625	5.86657625	5.8572685	5.970688875	5.845541125	5.899135375
 AASDH 	5.45190425	5.2021075	5.63418275	5.25694675	5.40316425	4.813306	5.2018805	5.089208875
 AASDHPPT 	6.493029625	6.3129705	6.48957925	6.4853625	6.433986625	6.170085	6.525065	6.48175175
 AASS 	6.47842425	5.9879305	6.716673625	6.331314	6.415226375	5.891503375	6.162138625	6.626119375
 AATF 	8.188509125	8.218759625	8.149494625	8.2043815	8.31791575	8.02792275	8.20748225	8.320489
 AATK-AS1 	5.658429125	5.742686375	5.610921875	5.7441534375	5.71338775	5.952238	5.677514875	5.810012125
 AATK 	6.51494575	6.7387615	6.4659055	6.34125125	6.32313525	6.54960125	6.46305325	6.46342375
 ABAT 	5.8063495	5.824845625	5.71749475	5.707406875	5.766899	5.77769975	5.821619	5.7646638125
 ABCA1 	8.175314125	8.0312035	8.340041125	7.89907175	7.84085975	7.63255775	7.658513125	8.190149375
 ABCA10 	4.125537375	4.094123625	4.4570455	4.146792625	4.89918125	3.7458125	4.20181675	3.773128125
 ABCA12 	2.664604125	2.671833	2.603075875	2.8187695	3.4708475	2.63252775	2.699916625	3.470332
 ABCA13 	3.962698	3.81454425	3.943813125	3.765879125	4.3708245	3.546985	4.2414035	3.8247215
 ABCA17P 	3.04082025	3.061705875	2.990251375	2.9879815	2.918294625	2.942496	2.9702245	2.975992625
 ABCA2 	6.652840125	6.837249	6.796101375	6.87213	6.756201875	6.946121	6.8155555	6.8135615
 ABCA3 	8.783878875	9.16277	8.69291525	8.217961375	6.506626625	8.315611875	8.11206325	7.36573675
 ABCA4 	3.951745	3.91675225	3.911817125	3.96686775	3.951745	3.8827205	3.951234375	3.917667125
 ABCA5 	5.208307375	4.81378525	5.447087125	4.872460625	4.96043525	4.275285	5.176691375	5.02699025
 ABCA6 	7.174304375	6.433080625	6.831544375	6.561789375	6.91513125	5.759288375	7.26894975	5.8682315
 ABCA7 	6.172715625	6.326129625	6.206653375	6.268911875	6.30569475	6.413517125	6.299492125	6.36562825
 ABCA8 	7.4383265	7.0948875	7.220447625	7.022987125	8.3568465	6.471352875	7.58721425	6.475418
 ABCA9-AS1 	2.751713375	2.84429825	2.894220625	2.8723715	2.677208875	2.648661375	2.885779125	2.820036
 ABCA9 	5.45425975	5.375286375	5.39189725	5.4026045	6.444587	4.803817875	6.011114125	4.648301
 ABCB1 	4.2776105	4.56442575	4.633258375	4.993868375	4.987999375	4.50730525	4.591808125	4.73538125
 ABCB10 	6.230433125	6.08774225	6.1075595	6.041359625	5.94269025	5.914242375	5.9927065	5.974834625
 ABCB11 	2.824138875	2.81852175	2.8174315	2.81372925	2.8557795	2.75368225	2.83250925	2.801466375
 ABCB4 	3.14021	3.1937435	3.219551125	3.224916375	3.228410125	3.166905	3.215819625	3.2869665
 ABCB5 	2.471338375	2.4709760625	2.4601	2.472765375	2.5551965	2.457302875	2.528755	2.48233025
 ABCB6 	5.4423725625	5.468200125	5.435962	5.873657125	5.597276125	5.768771375	5.457746375	5.475990375
 ABCB7 	6.6410308125	6.328470125	6.564040625	6.5419655	6.5320315	6.171613125	6.590253375	6.49559375
 ABCB8 	5.784721875	5.841532875	5.787535625	5.847909125	5.838867125	5.930068	5.748874125	5.8149229375
 ABCB9 	5.43425325	5.476395	5.368699375	5.59833625	5.507027125	5.636550625	5.415440125	5.498235375
 ABCC1 	6.967923	7.127635625	7.1048795	7.3385495	7.188175375	7.284382125	6.951695875	7.221411125
 ABCC10 	5.80037775	5.86901425	5.8930005	5.881471875	5.802457625	5.8554995	5.845331375	5.850790125
 ABCC11 	4.203196375	4.257832375	4.2440593125	4.23417725	4.19926125	4.17146675	4.218048625	4.1813941875
 ABCC12 	3.785557625	3.77568525	3.761914375	3.7762965	3.77272	3.946758125	3.769625375	3.817026125
 ABCC13 	2.694359625	2.60822525	2.64925175	2.614469875	2.6130195	2.572347	2.55026225	2.617902375
 ABCC2 	2.999358375	2.9503815	3.00103875	2.97565975	2.971428125	2.947986875	2.901763	2.960048875
 ABCC3 	6.064697625	6.4354651875	6.222774875	6.662671375	6.497687625	6.767860875	6.50875075	6.5060335
 ABCC4 	6.655137	6.7138488125	6.82569	6.880702625	6.355690875	6.66062175	6.702130625	6.713023625
 ABCC5-AS1 	3.068986125	3.014362625	3.02271075	3.07588725	2.775779	2.8084585	2.94967575	3.00297625
 ABCC5 	5.7207385	5.62094375	5.933077625	5.9818103125	5.981293625	5.835950625	6.302009375	6.090472
 ABCC6 	6.143605375	6.174442625	6.148479625	5.949489	5.838547625	6.090429375	6.015962375	6.075798625
 ABCC6P1 	5.79561375	5.762674375	6.0749945	5.524760125	5.3131785	5.655382625	5.636550625	5.646796625
 ABCC6P2 	6.43347225	6.579119	6.706151125	6.2073495	5.953851625	6.431730375	6.318137375	6.156317875
 ABCC8 	5.469258625	5.661533	5.477586625	5.44994575	5.44215275	5.499649	5.3310795	5.416775375
 ABCC9 	7.407007625	7.482462	7.439063	7.62005325	8.251481875	7.33024325	7.482198	7.451152125
 ABCD1 	6.043892125	6.062047	5.9991935	5.9468165	6.01801575	6.0955435	6.054701375	6.033386375
 ABCD2 	3.582011625	3.669049625	3.748480375	3.597155375	4.6724295	3.561915	4.202039375	4.678567
 ABCD3 	7.352463375	6.905140375	7.107595	7.08957875	6.636229625	6.870707625	6.93339425	6.657001875
 ABCD4 	6.03410075	6.132618375	6.160316625	6.156708625	6.1617085	6.200659375	6.158456375	6.144883875
 ABCE1 	6.73665275	6.498941125	6.676637	7.152121625	7.09344775	6.990009	6.8009885	6.818749625
 ABCF1 	7.579370375	7.6285	7.618734875	7.8375635	7.60471775	7.896200125	7.6154365	7.683231875
 ABCF2 	7.12399575	7.2048175	7.071107875	7.62823425	7.4383265	7.633911625	7.149221875	7.22391775
 ABCF3 	6.80681775	6.95798825	6.827755	6.8735745	6.7699855	6.923647875	6.781971125	6.8655155
 ABCG1 	6.713146875	6.935001875	6.8447765	6.605429625	6.09648575	6.58288675	6.418285	6.300346875
 ABCG2 	6.008233875	6.528420125	6.101519875	6.025473625	5.530173625	5.976230875	5.949489	5.247031625
 ABCG4 	5.545392125	5.620011375	5.4917265	5.537453875	5.483644	5.5701265	5.5133175	5.4949825
 ABCG5 	3.944072	3.942008375	3.91784325	3.90313	3.852806375	3.99845225	3.8914045	3.867039625
 ABCG8 	4.509555375	4.431971	4.455295375	4.441865125	4.475454	4.4670715	4.369986125	4.445808125
 ABHD1 	4.121705375	4.225991875	4.0337985	4.101916	4.105037375	4.060069	4.073453625	4.091057
 ABHD10 	6.449752125	6.188321375	6.19838575	6.19196725	6.187217375	5.829185125	6.243045	6.084933375
 ABHD11 	6.03410075	6.052544125	5.984535	6.112880625	6.01957325	6.03487775	6.019945375	6.000688125
 ABHD12 	6.93202875	7.012065125	6.90310275	7.035108375	6.867044125	7.11906775	7.019730375	7.032022125
 ABHD12B 	2.9543716875	2.891524375	2.9362165	2.847692125	2.906990875	2.90277625	2.92779175	2.8966885
 ABHD13 	7.544141625	7.6363405	7.632896875	7.589555875	7.60084825	7.77645275	7.62767275	7.65318825
 ABHD14A 	6.6165035625	6.62166975	6.55235425	6.62121825	6.63048575	6.844039375	6.61452125	6.66407825
 ABHD14B 	6.57630575	6.795294875	6.596625	6.484978625	6.55054875	6.547965125	6.589013625	6.567405125
 ABHD15 	6.139730125	6.053319625	5.84315125	6.049282125	5.782271125	6.053319625	5.98572975	6.122810625
 ABHD16A 	6.534580125	6.6300285	6.5562435	6.55040725	6.55040725	6.599505625	6.4909935	6.561789375
 ABHD16B 	5.685404	5.967925625	5.8180265	5.801549625	5.827672	6.557698875	5.751272625	5.978476875
 ABHD17A 	7.647926125	7.82918775	7.562349625	7.60362375	7.593065375	7.776904	7.631133875	7.639694
 ABHD17B 	6.564040625	6.49559375	6.607462625	6.47896375	6.5100585	6.476061375	6.522376625	6.570211375
 ABHD17C 	5.876126875	5.43217825	6.054935875	5.297425	5.2021075	5.04759475	5.2670645	5.25285575
 ABHD2 	8.16936975	8.19224	8.0054495	8.37719775	7.6940325	8.161798	7.976225125	7.84791125
 ABHD3 	6.2866085	6.044020125	6.192511625	6.28621775	6.48695225	6.17210975	6.280923875	6.429641625
 ABHD4 	6.3586745	6.3007435	6.336539375	6.281701125	6.233164	6.190233375	6.47099725	6.320239125
 ABHD5 	6.60995325	6.3297385	6.428696	6.469237625	6.594098875	6.342855125	6.42066275	6.0963135
 ABHD6 	6.365372875	6.992311	6.49443625	6.38466625	6.364516375	6.39673825	6.280261625	6.331314
 ABHD8 	6.57178325	6.796400375	6.4607985	6.586454	6.52644125	6.843872375	6.579119	6.6016275
 ABI1 	8.095994625	8.124896875	8.071295375	7.900392875	8.0272835	7.6634755	8.104732125	8.098802
 ABI2 	6.246224875	6.0909	6.386409375	6.0573875	6.056713	5.91037875	6.1383335	5.999742625
 ABI3 	6.26127725	6.432858125	6.163318375	6.155390375	6.33334975	6.338045125	6.321920625	6.3347395
 ABI3BP 	9.149759	9.478627125	9.500398875	9.14384575	9.392089	8.9888535	9.44488625	8.325369625
 ABL1 	7.627390375	7.726226125	7.473591	7.976024375	8.06186675	7.865670125	7.7164405	7.7295415
 ABL2 	6.309939625	6.246729	6.387273375	6.9521895	6.795294875	6.647884625	6.36823125	6.5100585
 ABLIM1 	7.602016625	7.527494	7.55414925	7.353725	7.186867125	7.27830425	7.459732375	6.793182625
 ABLIM2 	5.832443875	5.86525275	5.744323625	5.84189475	5.86286275	6.00704875	5.833084	5.809003125
 ABLIM3 	6.749651	6.8881533125	6.761102625	7.241755125	6.766499875	7.0956375	6.566020625	6.595737
 ABO 	5.90404125	5.039042875	5.651545	5.279748125	5.24756	5.230598375	5.724063	4.898897875
 ABP1 	4.94082375	5.058446875	4.903971	4.972583875	4.891005625	5.15459775	4.96358825	4.99749825
 ABR 	7.626638875	7.87070475	7.613800625	7.78038	7.49152475	7.801909	7.72027875	7.5720215
 ABRA 	3.605755375	3.710509375	3.408498625	3.48905425	3.818753625	3.280922375	3.507591	3.714779375
 ABRACL 	5.89744325	5.940073875	5.978565	6.307286875	6.206214625	6.493029625	6.052855875	6.17629475
 ABT1 	5.9005045	5.8421045	5.848466875	5.895909875	5.995	5.917245375	5.656684375	5.7883875
 ABTB1 	6.4695305	6.48269425	6.484612125	6.366526125	6.54679525	6.579871375	6.48311975	6.4833935
 ABTB2 	5.9100640625	5.89564925	5.756930875	5.944064875	5.834274375	5.872606	5.82330925	5.82708775
 ACAA1 	6.129060625	6.111459375	6.149535375	6.14876875	6.11947875	6.267375	6.100877	6.100533375
 ACAA2 	7.7164405	7.936216375	7.635363875	7.9287195	7.650558625	7.909818125	7.815094125	7.596237875
 ACACA 	7.04439325	6.804721	6.84838875	6.625501125	6.381605625	6.477498	6.452725	6.357565125
 ACACB 	6.413517125	6.552674875	6.76491275	6.49959975	6.77610425	6.492475375	6.460003875	6.3176975
 ACAD10 	5.44994575	5.452521875	5.447737125	5.4984495	5.4456395	5.44678275	5.442692875	5.46020675
 ACAD11 	5.54843525	5.3481345	5.8186575	5.620744375	5.46550175	5.12610175	5.562555125	5.34114225
 ACAD8 	5.85589425	5.941594625	5.94056025	5.975142375	5.976096375	5.9732855	5.96986575	5.9521065
 ACAD9 	6.734932875	6.428696	6.763504125	7.115172375	6.76536275	6.9871109375	6.7776705	6.6969715
 ACADL 	6.50139625	6.327983	6.590900625	4.754945	4.37986875	4.771273625	5.152318	4.069716375
 ACADM 	6.608592	6.311641625	6.585632125	6.4607985	6.460125	6.226225875	6.469237625	6.471970375
 ACADS 	6.441505625	6.631889	6.3812875	6.456764375	6.440868125	6.65118925	6.413184875	6.4562085
 ACADSB 	7.13353775	6.594098875	6.814377625	7.136720875	6.491975125	7.057949875	6.760947875	6.37254375
 ACADVL 	7.55414925	7.90010475	7.543869	8.318989875	7.833040625	8.414351125	7.804319	8.0346295
 ACAN 	5.159868	5.30018275	5.198491875	5.612827375	5.498295375	5.770501625	5.360355625	5.558583125
 ACAP1 	6.139217	6.1447115	6.029282375	6.061235	6.547049125	6.233661125	6.392402	6.844296125
 ACAP2-IT1 	2.4883835	2.510911875	2.580124375	2.781872	2.55553875	2.327609	2.563889375	2.47188575
 ACAP2 	7.23691525	7.044224625	7.248678375	7.038973125	7.12203875	6.67979425	7.117259875	7.1404065
 ACAP3 	6.604122875	6.72821225	6.5320315	6.702468	6.67920175	7.043668625	6.715046	6.836417625
 ACAT1 	7.179694	6.755848	7.003155625	6.90598125	6.70147675	6.618738375	6.836828875	6.595124375
 ACAT2 	6.65544425	6.06424325	6.512305875	6.187301375	5.914133625	6.087420875	6.158559625	5.9728515
 ACBD3 	8.8295395	8.507658375	8.7112075	8.658982	8.569044125	8.696858	8.574134625	8.77645425
 ACBD4 	5.81828425	5.828356875	5.816369375	5.73953775	5.80124675	5.82441075	5.7858535	5.792343125
 ACBD5 	7.340936375	7.21889925	7.27282975	7.075408375	6.999378125	6.928805375	7.16406025	7.054780125
 ACBD6 	6.04049025	5.87509275	6.061690625	6.1201885	6.04101975	6.1032715	6.04049025	6.01884425
 ACBD7 	4.01372775	3.924625625	3.954681375	3.9171955	3.895256375	3.827631625	4.020842875	3.9283188125
 ACCS 	5.58333525	5.634454375	5.473401375	5.57915975	5.426615125	5.5292151875	5.560431875	5.61448825
 ACCSL 	3.513277125	3.495102625	3.47912875	3.47167	3.307307875	3.55472475	3.406431375	3.432285
 ACD 	5.901043	6.062790375	5.8995295	5.9338175	5.929768125	6.053535875	5.913811	5.90745775
 ACE 	6.75862525	7.35906225	7.08773575	6.609586625	6.266686	6.5562435	6.530761375	6.398404625
 ACE2 	3.6553445	3.232111125	3.437784125	4.50173375	3.6155925	3.936696625	3.274061875	3.148212
 ACER1 	4.644664375	4.665794375	4.578797625	4.66215875	4.66215875	4.571929375	4.62959175	4.73201275
 ACER2 	4.57449975	4.87192675	4.726979	4.838273375	4.842674875	4.720529625	4.812592125	4.962299
 ACER3 	6.89928475	6.45941075	6.664801875	6.551446	6.40305	6.433080625	6.533230625	6.137445
 ACHE 	6.222609125	6.365177	6.153488875	6.239474875	6.24263375	6.524477625	6.275462625	6.347124
 ACIN1 	6.94187875	6.986352875	7.00443275	6.975864125	6.973049625	6.88100325	6.960477125	7.013314125
 ACLY 	7.998816875	7.99475425	7.902331875	8.2506045	8.054631875	8.119265875	7.88344825	7.973901375
 ACMSD 	3.0560455	2.9801415	2.9694745	3.000680625	2.920386	3.021948375	3.01940425	2.97677175
 ACN9 	3.49812425	3.263170625	3.413931625	3.56841425	3.45164675	3.22827825	3.221634875	3.54148925
 ACO1 	7.38043025	7.249775625	7.32748475	7.737334	7.56161325	7.70935325	7.20196125	7.143243125
 ACO2 	7.823514	8.01587525	7.818026375	7.964578125	7.879934	8.087229	7.757962375	7.90010475
 ACOT1 	6.271187375	6.66996525	6.38184275	6.416005125	6.173004875	6.449884875	6.19104025	6.08442725
 ACOT11 	5.41151175	5.46174775	5.513842	5.510740625	5.464762875	5.52218025	5.486982	5.46802225
 ACOT12 	2.507843875	2.529251	2.565799625	2.53334975	2.580770625	2.517522	2.55680625	2.54347925
 ACOT13 	7.10330575	6.887605625	6.934798	6.88224125	6.85614725	6.92627625	6.90598125	6.722692375
 ACOT2 	6.722692375	7.079467	6.731836125	6.833348625	6.70877	6.89540125	6.693796375	6.566648125
 ACOT4 	3.96633275	3.879175375	3.946571375	3.918104625	3.911147125	3.86860325	3.90835825	3.88097375
 ACOT6 	2.731878375	2.693727125	2.702868	2.856268875	2.53730725	2.54259725	2.714700875	2.698847625
 ACOT7 	6.378397875	6.621417875	6.391208375	6.404447875	6.32833075	6.45978	6.263803625	6.38184275
 ACOT8 	5.3701540625	5.309137625	5.379858375	5.3649135	5.295883125	5.3573295	5.200783	5.316151625
 ACOT9 	6.172875875	6.145606875	6.26884475	6.529855125	6.24064775	6.307978	6.263139875	5.9253345
 ACOX1 	7.8599625	7.7792745	7.747587875	7.589939	7.651110375	7.57828475	7.5889125	7.491314875
 ACOX2 	5.680247	5.62778675	5.693262375	5.6726393125	5.729250625	5.623374875	5.652419625	5.629638875
 ACOX3 	6.10415725	6.177034875	6.14454025	6.13868925	6.14095625	6.13903925	6.141962625	6.01456375
 ACOXL 	6.18017025	5.8702775	6.2338205	5.202966625	4.55115725	5.081309625	5.093747125	4.95354425
 ACP1 	6.412569875	6.386409375	6.470211125	6.53278675	6.34686	6.425642875	6.41576	6.293682875
 ACP2 	6.3621485	6.594471875	6.496849	6.673455	6.643498875	6.737369625	6.60932275	6.762961875
 ACP5 	6.882755	7.537028625	7.092562375	7.23944675	6.886854	7.321434625	7.203009375	7.04221625
 ACP6 	4.90111775	4.8247696875	4.734243875	4.8822	4.8637936875	4.651993375	4.8557014375	4.821365125
 ACPL2 	4.37590325	4.290284125	4.355974875	4.405163125	4.33371875	4.282474875	4.275629375	4.29978925
 ACPP 	4.7604605	4.15868875	4.399504875	4.118880125	4.094868	3.88295675	4.119231375	3.87351775
 ACPT 	6.026922625	6.18921	5.930533625	5.945319625	6.012629625	6.23003825	6.002325375	6.058944125
 ACR 	3.942412125	4.024210875	3.944787375	3.97323625	3.920763625	4.0646055	3.867855625	3.902791
 ACRBP 	5.225850875	5.20465225	5.275782625	5.223687375	5.247454125	5.190939125	5.2297375	5.13313475
 ACRC 	3.901090125	3.906737625	3.967638125	3.941069	3.851522875	3.890452625	3.811962125	3.995073
 ACRV1 	2.59507525	2.619763875	2.554903375	2.602645375	2.63137325	2.628864	2.6543848125	2.6811865
 ACSBG1 	4.73069225	4.745565125	4.651035625	4.701079	4.624127375	4.602246125	4.71297875	4.64910375
 ACSBG2 	3.286719375	3.2541105	3.25925875	3.23567	3.219223	3.10248375	3.244771375	3.207529625
 ACSF2 	6.196263875	6.184073625	6.171714	5.99652925	5.91037875	6.108929	6.0941911875	6.08878375
 ACSF3 	5.979877375	6.171714	6.020955625	6.052296875	6.052162	6.169425625	5.9955895	6.031889625
 ACSL1 	8.428644375	8.330212375	8.252947625	8.858709375	8.678284125	8.770486625	8.049717	7.89047525
 ACSL3 	7.996552375	7.671961375	8.0289715	7.714232625	7.383023	7.61982575	7.65868775	7.62005325
 ACSL4 	7.78818525	7.69527525	7.930137	8.075040625	8.196784125	7.9229525	7.807523	7.968663375
 ACSL5 	8.040785125	8.05197	7.76266125	7.62767275	7.800076375	7.389618125	7.289868625	8.273518375
 ACSL6 	3.57964925	3.509764375	3.52549525	3.5232235	3.532697375	3.419680125	3.53260075	3.525798875
 ACSM1 	3.96302625	3.909747	3.944072	3.869122125	3.866119375	3.92518775	3.906423625	3.879175375
 ACSM2A 	3.278231	3.296381375	3.32232375	3.30483025	3.248757	3.47640875	3.306980125	3.27575425
 ACSM2B 	3.550913625	3.582456625	3.5905285	3.573209625	3.600590625	3.441287125	3.5764805	3.54582
 ACSM3 	5.312626375	4.3454865	4.729179	4.517845125	4.1431205	4.311654875	4.57922975	4.35821925
 ACSM4 	3.30453225	3.28941075	3.304272	3.29655775	3.29373425	3.21086575	3.274484125	3.280205
 ACSM5 	5.102596	5.18078375	5.16457475	5.2452635	5.223082875	5.181538875	5.31695875	4.921276375
 ACSS1 	6.33085475	6.3061915625	6.3096235	6.163761875	6.109303375	6.2715635	6.33866875	6.5188855
 ACSS2 	6.690066125	6.270298125	6.432399875	6.34686	6.247202875	6.323897875	6.30394325	6.180488625
 ACSS3 	7.2798815	6.77660375	7.33573125	6.709382625	6.564040625	6.393550375	6.6419835	6.35503475
 ACTA1 	7.66663775	7.618017	7.569466875	7.687897375	7.80365025	7.783667	7.936216375	7.842245375
 ACTA2-AS1 	3.81275125	4.00318175	3.867311125	3.730859625	3.923008	3.82506775	3.919141375	3.872482
 ACTA2 	8.5258485	8.419614875	8.222818875	9.0497735	9.45680675	9.071643125	9.312165375	8.6939705
 ACTB 	10.83134125	10.8692375	10.72173875	10.7643235	10.5874875	10.70139375	10.51161875	10.3446995
 ACTBL2 	2.36882225	2.49957525	2.579412625	2.5078085	2.6902435	2.673670375	2.45310775	2.5382855
 ACTC1 	5.87543175	5.736275125	5.68978675	5.943141375	6.238747125	5.8392425	6.075157125	5.9159685
 ACTG1 	11.799476625	11.799476625	11.54894375	11.92784125	11.71292125	11.50819625	11.54894375	11.12256
 ACTG2 	5.93918475	5.468884875	5.349176375	6.73986325	6.797667125	6.355690875	6.702468	6.03269875
 ACTL10 	5.583917375	5.837493	5.512594625	5.662652125	5.764914	6.178519625	5.615722875	5.68903525
 ACTL6A 	5.693725375	5.49532025	5.56168625	5.637742	5.526269125	5.4886555	5.496509625	5.5130745
 ACTL6B 	5.290972125	5.322260375	5.297425	5.272890625	5.2675155	5.2175625	5.252501625	5.2741545
 ACTL7A 	5.284587875	5.267314	5.547824125	5.043048	5.360923	5.541777625	5.356109125	5.117545125
 ACTL7B 	4.305575	4.582231	4.424248625	4.516727625	4.540440125	4.54861875	4.462331625	4.466469625
 ACTL8 	4.727568625	5.1055545	4.825281125	4.870066125	4.761141875	4.78110625	4.848243625	4.797167875
 ACTL9 	5.582906	5.889608625	5.671333375	5.74869875	5.74563925	6.326898375	5.63872675	5.775992375
 ACTN1-AS1 	4.0646055	4.089218375	4.043086375	3.82056825	4.01171825	4.183676875	4.0052475	3.977660125
 ACTN1 	8.642545875	8.701892875	8.3007545	9.2360325	9.34139325	9.081542625	8.9558965	8.826345125
 ACTN2 	4.4648295	4.450348625	4.48391175	4.332917	4.36470675	4.241598	4.72872175	4.312999875
 ACTN3 	5.85918225	5.871545375	5.799673875	5.906705	5.9011005	6.027388625	5.953559375	5.935714625
 ACTN4 	10.47163125	10.47926625	10.145040875	10.12256	10.00962625	9.95755875	9.9670965	9.536749125
 ACTR10 	7.223173	7.009199125	7.152064125	7.203600875	7.14132775	7.053836625	7.1083635	7.083857625
 ACTR1A 	7.856852	7.859354375	7.787518375	8.065694625	7.94074925	8.14435325	7.8224145	7.687897375
 ACTR1B 	7.07049	7.238864125	7.079208375	7.09048175	7.033309625	7.23641925	7.070722625	7.12800525
 ACTR2 	9.6081675	9.536749125	9.51398125	9.530762875	9.359430625	9.523746625	9.39658525	9.35586625
 ACTR3 	9.32852275	9.243451625	9.374909375	9.427133	9.398724	9.415086625	9.32852275	9.308541625
 ACTR3B 	5.722120875	5.62802075	5.899298	5.620322375	5.50864375	5.557579625	5.411155875	5.501671625
 ACTR3BP2 	2.68713425	2.56831525	2.747425375	2.505479625	2.70748575	2.423216625	2.602458125	2.6455475
 ACTR3BP4 	2.5705085	2.616524125	2.653829375	2.7914435	2.59848175	2.86872025	2.59302675	2.637691
 ACTR3BP5 	2.62946225	2.534618875	2.506735625	2.567055375	2.550974625	2.641819125	2.497933625	2.571633625
 ACTR3BP6 	2.771047625	2.71395075	2.749567125	2.690041375	2.881450375	2.817935375	2.70361925	2.72434875
 ACTR3C 	5.78092825	5.608103625	5.906986125	5.243274875	5.28895925	4.999709	5.25048725	5.5099695
 ACTR5 	5.70726125	5.6319545	5.639039	5.622539625	5.642413625	5.569999125	5.56808275	5.576376875
 ACTR6 	5.743968125	5.323366875	5.69505225	5.31878125	5.5230395	4.970272	5.3745885	5.25589725
 ACTR8 	6.49359075	6.47578875	6.567058625	6.503952875	6.53985	6.378824375	6.468912875	6.67907075
 ACTRT1 	2.9251105	2.86197975	2.946953875	2.773748125	2.773748125	3.001767	2.8996955	3.03157825
 ACTRT2 	5.501671625	5.57592925	5.58426825	5.57072825	5.4915505	5.51934175	5.548696	5.6827245
 ACTRT3 	3.2485585	3.113393625	3.130041625	3.129204125	3.1937435	2.865575375	3.102009875	3.117195875
 ACVR1 	6.66407825	6.566778625	6.60216225	6.900362	6.70009175	6.76620175	6.693652125	6.702468
 ACVR1B 	6.151685875	6.217368875	6.111909375	6.261056125	6.08667125	6.080798125	6.088896625	6.066899125
 ACVR1C 	4.350126375	4.28411425	4.208462375	4.170852875	5.127619	4.33189	4.10451975	4.277288125
 ACVR2A 	6.460554625	6.216304125	6.588220875	6.3546495	6.426130875	6.21453025	6.245410375	6.079958625
 ACVR2B-AS1 	4.299535625	4.357666875	3.892653875	4.09761825	4.2488215	4.402137375	4.239905625	4.2266695
 ACVR2B 	5.519720875	5.59182825	5.46289575	5.348334875	5.301251375	5.405993375	5.458127125	5.502671625
 ACVRL1 	7.923801625	8.27028575	8.46484925	7.73546275	7.262717875	7.889190875	7.561937	6.87856575
