id	GSM1854187_Control	GSM1854188_Control	GSM1854189_Control	GSM1854182_Treat	GSM1854183_Treat	GSM1854184_Treat	GSM1854185_Treat	GSM1854186_Treat
 MAPKAPK5 	7.483384375	7.49202	7.70162825	7.436254875	7.344105125	7.497216625	7.469966875	7.387068875
 MAPKBP1 	5.72915625	5.685566625	5.72265425	5.7277205	5.714257375	5.75867875	5.714596	5.692282875
 MAPRE1 	8.65172525	8.75214575	8.75214575	8.85332325	8.832058875	8.943559625	8.707695125	8.765250875
 MAPRE2 	7.357792875	7.298440125	7.49385075	7.303720375	7.212538375	7.340431125	7.34686625	7.084334
 MAPRE3 	6.0778955	6.02828275	6.0817648125	6.057991375	6.041359625	6.100354375	6.133318875	6.035740375
 MAPT-AS1 	6.49792175	6.5908071875	6.4963725	6.6341535	6.61745325	6.771688	6.665508	6.61385025
 MAPT-IT1 	3.81978675	4.058360125	3.805074	4.078398125	3.92951975	3.834455375	3.795215375	3.831842875
 MAPT 	5.179510875	5.1638025	5.052647375	5.200124625	5.16994875	5.336769125	5.083608	5.22062475
 MARC1 	5.2839035	5.291489875	5.488515125	5.09470225	5.168541125	5.071338	4.995963	4.9534395
 MARC2 	6.70856525	6.247040875	6.61385025	6.1301555	6.038994125	5.839332	6.086369625	5.957487875
 MARCH1 	5.243037875	5.304604375	5.192147875	5.366077375	5.4646275	5.318674625	5.40390475	5.380868625
 MARCH10 	4.31232125	4.26625475	4.25087975	4.3241555625	4.305681125	4.2023525	4.617752	4.27388375
 MARCH11 	2.80856975	2.800337875	2.779155625	2.753038375	2.77132625	2.58728525	2.76619125	2.742637625
 MARCH2 	6.873115	7.019095125	6.940777875	6.949380125	7.074927	7.0585449375	7.0607835	6.89540125
 MARCH3 	5.92087025	5.79547025	5.719180875	5.889608625	6.581269625	5.810404625	5.82780725	5.85034075
 MARCH4 	4.68812525	4.90957425	4.810591	5.298278125	4.843886375	5.4034085	4.699964625	4.775020875
 MARCH5 	6.686071625	6.51123525	6.698558	6.78270075	6.794896875	6.633415875	6.555933375	6.592393375
 MARCH6 	8.167575125	7.98985	8.255335875	7.779652625	7.820856875	7.303720375	7.9696945	8.025678
 MARCH7 	8.354340125	8.081577	8.552263125	8.252947625	8.441735375	8.088668875	8.31836975	8.14001275
 MARCH8 	6.935435625	6.91837	7.009365375	6.894970375	7.21596075	6.693796375	6.986006125	6.999378125
 MARCH9 	5.4083045	5.28262625	5.33835725	5.14291575	4.96373	5.011489875	5.292953125	5.272174625
 MARCKS 	8.0074705	8.15968525	8.653527375	7.901244625	8.330212375	7.721092125	8.569936125	8.61984925
 MARCKSL1 	6.176563875	6.158361375	6.187946625	6.20725175	6.497186	6.376713625	6.22018725	6.347812625
 MARCO 	7.7698316875	8.2852835	8.224085	7.952762125	7.035592625	8.1759295	7.143243125	7.489004375
 MARK1 	4.805468	4.644944875	4.80741925	5.0650635	5.10347725	4.821365125	5.06976175	4.737384625
 MARK2 	7.040187	6.969271625	6.9307795	6.826602375	6.9363453125	7.007352	6.91837	6.974601875
 MARK2P9 	3.895369625	4.210754375	4.221573125	4.175313	4.408405125	4.581952375	4.29696075	4.2015435
 MARK3 	7.67914575	7.795499125	8.000981125	7.66363475	7.655350375	7.482198	7.62005325	7.730284875
 MARK4 	6.585632125	6.6263065	6.57768375	6.5693685	6.597144125	6.6600765	6.612526	6.62775875
 MARS 	6.93889475	7.040187	6.996369375	7.480275375	7.246460625	7.405970625	7.0285265	7.675056375
 MARS2 	5.4026045	5.5230395	5.461876875	5.572136875	5.60948425	5.866732125	5.300917375	5.525758
 MARVELD1 	6.71050825	6.81076725	6.809293875	7.182116875	6.902392125	6.978745625	6.829546125	6.82269375
 MARVELD2 	7.29066375	6.771196	7.400648125	6.44127575	5.854640375	6.302741125	6.672183375	6.099886125
 MARVELD3 	4.65733175	4.850359125	4.651993375	4.583456125	4.643180125	4.80808925	4.64971525	4.618697
 MAS1 	2.424837125	2.373914875	2.418429375	2.37227725	2.481373625	2.3340355	2.314103625	2.364310875
 MAS1L 	4.303527375	4.599171	4.288694	4.152892375	4.287146375	4.184972	4.2641888125	4.2306969375
 MASP1 	5.398522	5.530380125	5.408566375	5.581147625	5.263740375	5.627452125	5.367118875	5.34524125
 MASP2 	4.71955175	4.78300075	4.682900625	4.76778125	4.757415375	4.906077875	4.748871375	4.731172
 MAST1 	5.351597125	5.421372375	5.377540875	5.414821125	5.373022	5.592996	5.368419875	5.46113425
 MAST2 	5.6728675	5.735146125	5.692282875	5.86460625	5.769968375	5.778095625	5.767632125	5.783695
 MAST3 	6.535822375	6.53638425	6.525687	6.365082625	6.644361	6.470211125	6.51697925	6.612008875
 MAST4-AS1 	3.614520125	3.47250725	3.475060125	3.96345775	3.55286675	3.326402	3.6264545	3.474048625
 MAST4-IT1 	2.4652415	2.34504125	2.705641875	2.207558375	2.232835625	2.38049225	2.28948125	2.375069375
 MAST4 	6.841554375	6.58975375	6.991266875	6.655137	6.695521625	6.433343375	6.704360875	6.715903125
 MASTL 	4.880928	4.549329875	4.856544375	4.933148375	5.107485625	4.758571	4.785258625	5.02841625
